Start time          	End time            	Activity
2011-12-02 12:20:41	2011-12-01 10:20:59	Grooming
2011-12-02 12:21:19	2011-12-02 12:25:40	Showering
2011-12-02 12:27:47	2011-12-01 11:35:49	Breakfast
2011-12-02 12:37:47	2011-12-02 14:46:29	Spare_Time/TV
2011-12-02 14:47:00	2011-12-02 15:20:00	Lunch
2011-12-02 15:24:05	2011-12-02 15:55:12	Spare_Time/TV
2011-12-02 15:56:02	2011-12-02 15:57:55	Grooming
2011-12-02 15:58:00	2011-12-02 16:36:05	Spare_Time/TV
2011-12-02 16:37:27	2011-12-02 16:47:27	Toileting
2011-12-02 16:47:39	2011-12-02 19:39:08	Spare_Time/TV
2011-12-02 19:40:44	2011-12-02 19:40:50	Snack
2011-12-02 19:41:14	2011-12-02 21:26:09	Spare_Time/TV
2011-12-02 21:27:09	2011-12-02 21:44:37	Toileting
2011-12-02 21:46:31	2011-12-03 01:41:08	Spare_Time/TV
2011-12-03 01:47:02	2011-12-03 11:56:20	Sleeping
2011-12-03 11:57:15	2011-12-03 11:59:15	Toileting
2011-12-03 11:59:33	2011-12-03 12:01:59	Grooming
2011-12-03 12:03:36	2011-12-03 12:07:26	Showering
2012-11-17 10:18:00	2012-11-17 10:20:59	Showering
2012-11-17 10:21:00	2012-11-17 10:34:59	Grooming
2012-11-17 10:38:00	2012-11-17 10:42:59	Grooming
2012-11-17 10:47:00	2012-11-17 12:14:59	Leaving
2012-11-17 12:35:00	2012-11-17 12:43:59	Grooming
2012-11-17 12:45:00	2012-11-17 14:31:59	Spare_Time/TV
2012-11-17 14:42:00	2012-11-17 16:24:59	Leaving
2012-11-17 16:30:00	2012-11-17 16:30:59	Toileting
2012-11-17 16:31:00	2012-11-17 16:31:59	Grooming
2012-11-17 16:32:00	2012-11-17 17:28:59	Spare_Time/TV
2012-11-17 17:39:00	2012-11-17 20:26:59	Spare_Time/TV
2012-11-17 20:26:00	2012-11-17 20:31:59	Snack
2012-11-17 20:44:00	2012-11-17 20:45:59	Toileting
2012-11-17 20:46:00	2012-11-17 20:46:59	Grooming
2012-11-17 20:54:00	2012-11-17 20:55:59	Grooming
2012-11-17 21:19:00	2012-11-18 00:31:59	Leaving
2012-11-18 00:39:00	2012-11-18 01:34:59	Spare_Time/TV
2012-11-18 01:39:00	2012-11-18 08:57:59	Sleeping
2012-11-18 09:05:00	2012-11-18 09:06:59	Toileting
2012-11-18 09:07:00	2012-11-18 09:14:59	Breakfast
2012-11-18 09:22:00	2012-11-18 09:29:59	Showering
2012-11-18 09:30:00	2012-11-18 09:44:59	Grooming
2012-11-18 09:59:00	2012-11-18 10:06:59	Leaving
2012-11-18 10:36:00	2012-11-18 10:49:59	Spare_Time/TV
2012-11-18 10:53:00	2012-11-18 14:34:59	Leaving
2012-11-18 14:50:00	2012-11-18 14:57:59	Lunch
2012-11-18 17:14:00	2012-11-18 17:20:59	Snack
2012-11-18 17:25:00	2012-11-18 17:26:59	Toileting
2012-11-18 17:27:00	2012-11-18 17:30:59	Grooming
2012-11-18 17:44:00	2012-11-18 17:44:59	Grooming
2012-11-18 17:45:00	2012-11-18 19:40:59	Spare_Time/TV
2012-11-18 19:53:00	2012-11-18 22:23:59	Leaving
2012-11-18 22:24:00	2012-11-18 22:26:59	Dinner
2012-11-21 11:49:00	2012-11-21 11:52:59	Grooming
2012-11-21 12:01:00	2012-11-21 12:26:59	Leaving
2012-11-21 12:45:00	2012-11-21 13:27:59	Spare_Time/TV
2012-11-21 14:10:00	2012-11-21 15:01:59	Spare_Time/TV
2012-11-21 15:02:00	2012-11-21 15:31:59	Lunch
2012-11-21 15:32:00	2012-11-21 15:53:59	Spare_Time/TV
2012-11-21 15:57:00	2012-11-21 17:49:59	Spare_Time/TV
2012-11-21 17:50:00	2012-11-21 17:55:59	Snack
2012-11-21 17:56:00	2012-11-21 21:01:59	Spare_Time/TV
2012-11-21 21:08:00	2012-11-21 21:09:59	Toileting
2012-11-21 21:18:00	2012-11-22 01:40:59	Leaving
2012-11-22 01:40:00	2012-11-22 01:42:59	Snack
2012-11-22 01:47:00	2012-11-22 01:47:59	Grooming
2012-11-22 01:55:00	2012-11-22 10:11:59	Sleeping
2012-11-22 10:16:00	2012-11-22 10:17:59	Toileting
2012-11-22 10:19:00	2012-11-22 10:42:59	Breakfast
2012-11-22 11:02:00	2012-11-22 11:10:59	Snack
2012-11-22 11:11:00	2012-11-22 11:56:59	Spare_Time/TV
2012-11-22 11:12:00	2012-11-22 11:55:59	Spare_Time/TV
2012-11-22 11:56:00	2012-11-22 12:09:59	Snack
2012-11-22 12:20:00	2012-11-22 12:31:59	Grooming
2012-11-22 12:38:00	2012-11-22 14:56:59	Spare_Time/TV
2012-11-22 15:04:00	2012-11-22 15:04:59	Toileting
2012-11-22 15:05:00	2012-11-22 15:27:59	Lunch
2012-11-22 15:27:00	2012-11-22 16:42:59	Spare_Time/TV
2012-11-22 16:43:00	2012-11-22 16:52:59	Snack
2012-11-22 16:53:00	2012-11-22 18:15:59	Spare_Time/TV
2012-11-22 18:15:00	2012-11-22 18:18:59	Snack
2011-12-10 00:16:31	2011-12-10 00:16:49	Grooming
2011-12-10 00:17:05	2011-12-10 00:46:13	Spare_Time/TV
2011-12-10 00:50:47	2011-12-10 09:26:17	Sleeping
2011-12-10 09:28:00	2011-12-10 09:35:48	Toileting
2011-12-10 09:37:16	2011-12-10 09:46:27	Grooming
2011-12-10 09:47:44	2011-12-10 09:52:42	Showering
2011-12-10 09:55:18	2011-12-10 10:02:10	Breakfast
2011-12-10 10:03:20	2011-12-10 12:34:09	Spare_Time/TV
2011-12-10 12:52:54	2011-12-10 12:53:39	Grooming
2011-12-10 13:04:03	2011-12-10 17:07:03	Leaving
2011-12-10 17:11:23	2011-12-10 20:16:51	Spare_Time/TV
2011-12-10 20:21:54	2011-12-10 20:23:16	Grooming
2011-12-10 20:25:40	2011-12-11 00:56:05	Leaving
2011-12-11 01:01:41	2011-12-11 02:26:29	Spare_Time/TV
2011-12-11 02:27:23	2011-12-11 02:28:44	Grooming
2011-12-11 02:31:15	2011-12-11 11:57:34	Sleeping
2011-12-11 11:58:17	2011-12-11 12:01:27	Toileting
2011-12-11 12:02:25	2011-12-11 12:02:39	Grooming
2011-12-11 12:02:56	2011-12-11 12:18:42	Showering
2011-12-11 12:21:57	2011-12-11 12:30:09	Breakfast
2011-12-11 12:32:49	2011-12-11 14:26:18	Spare_Time/TV
2011-12-11 14:34:12	2011-12-11 15:26:17	Lunch
2011-12-11 15:28:59	2011-12-11 15:30:14	Toileting
2011-12-11 15:41:34	2011-12-11 15:43:30	Grooming
2011-12-11 15:43:51	2011-12-11 21:41:48	Spare_Time/TV
2012-11-25 13:50:00	2012-11-25 14:38:59	Spare_Time/TV
2012-11-25 14:41:00	2012-11-25 14:59:59	Lunch
2012-11-25 15:47:00	2012-11-25 15:48:59	Snack
2012-11-25 15:58:00	2012-11-25 20:10:59	Leaving
2012-11-25 20:13:00	2012-11-25 20:14:59	Toileting
2012-11-25 20:15:00	2012-11-25 22:01:59	Spare_Time/TV
2012-11-25 22:13:00	2012-11-25 22:14:59	Dinner
2012-11-25 22:14:00	2012-11-25 23:20:59	Spare_Time/TV
2012-11-25 23:25:34	2012-11-26 01:28:59	Spare_Time/TV
2012-11-26 01:31:00	2012-11-26 01:31:59	Toileting
2012-11-26 01:32:00	2012-11-26 08:50:59	Sleeping
2012-11-26 08:55:00	2012-11-26 08:55:59	Toileting
2012-11-26 08:56:00	2012-11-26 09:43:59	Sleeping
2012-11-26 09:50:00	2012-11-26 09:51:39	Toileting
2012-11-26 09:57:00	2012-11-26 10:04:59	Breakfast
2012-11-26 10:42:00	2012-11-26 10:48:59	Showering
2012-11-26 10:52:00	2012-11-26 11:01:59	Grooming
2012-11-26 11:11:00	2012-11-26 11:14:59	Grooming
2012-11-26 11:15:00	2012-11-26 11:16:59	Toileting
2012-11-26 11:34:00	2012-11-26 11:59:59	Leaving
2012-11-26 12:04:00	2012-11-26 12:51:59	Spare_Time/TV
2012-11-26 12:52:00	2012-11-26 18:54:59	Leaving
2012-11-26 19:00:00	2012-11-26 19:01:59	Toileting
2012-11-26 19:09:00	2012-11-26 21:03:59	Spare_Time/TV
2012-11-26 21:17:00	2012-11-27 01:27:59	Leaving
2012-11-27 01:37:00	2012-11-27 01:38:59	Grooming
2012-11-27 01:41:00	2012-11-27 01:41:59	Toileting
2012-11-27 01:42:00	2012-11-27 01:43:59	Grooming
2012-11-27 01:43:00	2012-11-27 10:12:59	Sleeping
2012-11-27 10:18:00	2012-11-27 10:19:59	Toileting
2012-11-27 10:20:00	2012-11-27 10:30:59	Breakfast
2012-11-27 10:46:00	2012-11-27 11:44:59	Spare_Time/TV
2012-11-27 11:53:00	2012-11-27 11:53:59	Grooming
2012-11-27 11:54:00	2012-11-27 11:54:59	Snack
2012-11-27 11:58:00	2012-11-27 12:23:59	Spare_Time/TV
2012-11-27 12:25:00	2012-11-27 12:25:59	Toileting
2012-11-27 12:26:00	2012-11-27 13:22:59	Spare_Time/TV
2012-11-27 13:32:00	2012-11-27 13:40:59	Grooming
2012-11-27 13:41:00	2012-11-27 13:53:59	Showering
2012-12-02 09:26:22	2012-12-02 10:16:59	Sleeping
2012-12-02 10:20:00	2012-12-02 10:21:59	Toileting
2012-12-02 10:26:00	2012-12-02 10:33:59	Breakfast
2012-12-02 11:34:00	2012-12-02 11:35:59	Toileting
2012-12-02 11:35:00	2012-12-02 11:49:59	Grooming
2012-12-02 11:53:00	2012-12-02 11:53:59	Grooming
2012-12-02 12:24:00	2012-12-02 12:56:59	Snack
2012-12-02 13:37:00	2012-12-02 13:59:59	Leaving
2012-12-02 15:14:00	2012-12-02 15:33:59	Lunch
2012-12-02 16:45:00	2012-12-02 16:59:59	Snack
2012-12-02 17:10:00	2012-12-02 18:45:59	Spare_Time/TV
2012-12-02 18:46:00	2012-12-02 18:47:59	Toileting
2012-12-02 19:10:00	2012-12-02 19:11:59	Toileting
2012-12-02 19:16:00	2012-12-02 20:03:59	Spare_Time/TV
2012-12-02 20:09:00	2012-12-02 20:21:59	Spare_Time/TV
2012-12-02 20:29:00	2012-12-02 20:29:59	Grooming
2012-12-02 20:41:00	2012-12-03 01:03:59	Spare_Time/TV
