Start time          	End time            	Activity	
--------------------	--------------------	--------
2012-11-11 21:14:00		2012-11-12 00:22:59		Spare_Time/TV
2012-11-12 00:24:00 	2012-11-12 00:43:59		Spare_Time/TV
2012-11-12 00:48:00		2012-11-12 00:49:59		Grooming		
2012-11-12 00:50:00		2012-11-12 01:51:59		Spare_Time/TV		
2012-11-12 01:52:00		2012-11-12 01:52:59		Grooming		
2012-11-12 01:53:00		2012-11-12 01:53:59		Toileting		
2012-11-12 01:54:00		2012-11-12 09:31:59		Sleeping
2012-11-12 09:37:00		2012-11-12 09:38:59		Toileting
2012-11-12 09:42:00		2012-11-12 09:52:59		Breakfast
2012-11-12 09:56:00 	2012-11-12 10:15:59		Spare_Time/TV
2012-11-12 10:18:00		2012-11-12 10:20:59		Grooming
2012-11-12 10:21:00		2012-11-12 10:29:59		Showering
2012-11-12 10:33:00		2012-11-12 10:34:59		Grooming
2012-11-12 10:35:00		2012-11-12 10:35:59		Toileting
2012-11-12 10:36:00		2012-11-12 10:40:59		Grooming
2012-11-12 10:42:00		2012-11-12 10:42:59		Grooming
2012-11-12 10:47:00		2012-11-12 11:04:59		Spare_Time/TV
2012-11-12 11:05:00		2012-11-12 11:20:59		Snack		
2012-11-12 11:37:00		2012-11-12 11:47:59		Snack
2012-11-12 12:41:00		2012-11-12 12:42:59		Toileting
2012-11-12 12:52:58		2012-11-12 12:55:59		Toileting
2012-11-12 13:00:00		2012-11-12 13:07:59		Grooming
2012-11-12 13:12:00		2012-11-12 13:18:59		Grooming
2012-11-12 13:19:00		2012-11-12 13:32:59		Spare_Time/TV
2012-11-12 13:47:00		2012-11-12 14:53:59		Lunch
2012-11-12 14:54:00		2012-11-12 15:22:59		Spare_Time/TV
2012-11-12 15:23:00		2012-11-12 15:31:53		Snack
2012-11-12 15:38:00		2012-11-12 15:38:59		Toileting
2012-11-12 15:39:00		2012-11-12 15:40:59		Grooming
2012-11-12 15:42:00		2012-11-12 16:11:59		Spare_Time/TV
2012-11-12 16:22:00		2012-11-12 17:08:59		Leaving
2012-11-12 17:10:00		2012-11-12 17:29:59		Spare_Time/TV
2012-11-12 17:43:00		2012-11-12 17:43:59		Toileting	
2012-11-12 17:44:00		2012-11-12 17:44:59		Grooming
2012-11-12 17:45:00		2012-11-12 18:46:59		Spare_Time/TV
2012-11-12 18:47:00		2012-11-12 18:56:59		Snack
2012-11-12 19:02:00		2012-11-12 20:57:59		Spare_Time/TV
2012-11-12 21:06:00		2012-11-12 21:11:59		Spare_Time/TV
2012-11-12 21:14:00		2012-11-12 21:15:59		Grooming
2012-11-12 22:35:00		2012-11-12 22:37:59	 	Dinner
2012-11-12 22:53:00		2012-11-12 22:53:59		Grooming
2012-11-12 22:54:00		2012-11-12 23:34:59		Spare_Time/TV
2012-11-12 23:36:00		2012-11-12 23:37:59		Toileting
2012-11-12 23:46:00		2012-11-13 01:27:00		Spare_Time/TV
2012-11-13 01:29:00		2012-11-13 01:29:59		Grooming
2012-11-13 01:30:00		2012-11-13 08:52:59		Sleeping
2012-11-13 08:56:00		2012-11-13 09:04:59		Breakfast
2012-11-13 09:11:00		2012-11-13 09:11:59		Grooming
2012-11-13 09:14:00		2012-11-13 09:15:59		Toileting
2012-11-13 09:21:00		2012-11-13 09:36:59		Grooming
2012-11-13 09:53:00		2012-11-13 10:11:59		Leaving
2012-11-13 10:14:00		2012-11-13 10:49:59		Snack
