Start time          	End time            	Location	Type		Place
--------------------	--------------------	--------	--------	-----
2012-11-22 01:40:09		2012-11-22 01:40:16		Maindoor	Magnetic	Entrance
2012-11-22 01:40:42		2012-11-22 01:40:44		Door		PIR			Kitchen
2012-11-22 01:42:08		2012-11-22 01:42:26		Fridge		Magnetic	Kitchen
2012-11-22 01:42:46		2012-11-22 01:42:48		Door		PIR			Kitchen
2012-11-22 01:45:37		2012-11-22 01:45:42		Door		PIR			Bedroom
2012-11-22 01:47:05		2012-11-22 01:47:09		Door		PIR			Bedroom
2012-11-22 01:47:24		2012-11-22 01:47:43		Basin		PIR			Bathroom
2012-11-22 01:52:15		2012-11-22 01:52:18		Door		PIR			Living
2012-11-22 01:54:14		2012-11-22 01:54:17		Door		PIR			Living
2012-11-22 01:55:36		2012-11-22 01:55:39		Door		PIR			Bedroom
2012-11-22 01:56:15		2012-11-22 06:23:16		Bed			Pressure	Bedroom
2012-11-22 06:23:36		2012-11-22 06:23:39		Door		PIR			Bedroom
2012-11-22 06:25:49		2012-11-22 06:25:57		Door		PIR			Bedroom
2012-11-22 09:29:14		2012-11-22 10:09:49		Bed			Pressure	Bedroom
2012-11-22 10:11:45		2012-11-22 10:11:48		Door		PIR			Bedroom
2012-11-22 10:16:28		2012-11-22 10:17:37		Toilet		Flush		Bathroom
2012-11-22 10:17:10		2012-11-22 10:17:13		Door		PIR			Living
2012-11-22 10:19:15		2012-11-22 10:19:18		Door		PIR			Living
2012-11-22 10:19:52		2012-11-22 10:19:55		Door		PIR			Kitchen
2012-11-22 10:20:26		2012-11-22 10:20:49		Fridge		Magnetic	Kitchen
2012-11-22 10:24:01		2012-11-22 10:24:30		Fridge		Magnetic	Kitchen
2012-11-22 10:25:07		2012-11-22 10:26:06		Cupboard	Magnetic	Kitchen
2012-11-22 10:42:16		2012-11-22 10:42:25		Door		PIR			Kitchen
2012-11-22 10:45:10		2012-11-22 10:45:13		Door		PIR			Living
2012-11-22 10:52:01		2012-11-22 10:52:04		Door		PIR			Living
2012-11-22 10:52:55		2012-11-22 10:52:58		Door		PIR			Bedroom
2012-11-22 10:59:43		2012-11-22 10:59:45		Door		PIR			Bedroom
2012-11-22 11:02:27		2012-11-22 11:02:29		Door		PIR			Kitchen
2012-11-22 11:09:03		2012-11-22 11:09:13		Cupboard	Magnetic	Kitchen
2012-11-22 11:10:27		2012-11-22 11:10:30		Door		PIR			Kitchen
2012-11-22 11:11:37		2012-11-22 11:11:41		Door		PIR			Living
2012-11-22 11:12:00		2012-11-22 11:55:53		Seat		Pressure	Living
2012-11-22 11:56:06		2012-11-22 11:56:09		Door		PIR			Living
2012-11-22 11:56:41		2012-11-22 11:56:42		Door		PIR			Kitchen
2012-11-22 11:56:44		2012-11-22 11:56:49		Fridge		Magnetic	Kitchen
2012-11-22 12:09:05		2012-11-22 12:09:07		Door		PIR			Kitchen
2012-11-22 12:20:26		2012-11-22 12:31:26		Basin		PIR			Bathroom
2012-11-22 12:38:15		2012-11-22 12:38:18		Door		PIR			Living
2012-11-22 12:39:11		2012-11-22 12:45:37		Seat		Pressure	Living
2012-11-22 12:45:38		2012-11-22 12:45:40		Door		PIR			Living
2012-11-22 12:46:55		2012-11-22 12:46:57		Door		PIR			Living
2012-11-22 13:05:18		2012-11-22 13:05:21		Door		PIR			Living
2012-11-22 13:17:41		2012-11-22 13:17:46		Door		PIR			Living
2012-11-22 13:18:14		2012-11-22 14:55:56		Seat		Pressure	Living
2012-11-22 14:55:59		2012-11-22 14:56:01		Door		PIR			Living
2012-11-22 14:56:12		2012-11-22 14:56:15		Door		PIR			Kitchen
2012-11-22 15:02:21		2012-11-22 15:02:23		Door		PIR			Kitchen
2012-11-22 15:04:40		2012-11-22 15:05:38		Toilet		Flush		Bathroom
2012-11-22 15:05:51		2012-11-22 15:05:53		Door		PIR			Kitchen
2012-11-22 15:06:24		2012-11-22 15:07:23		Fridge		Magnetic	Kitchen
2012-11-22 15:07:36		2012-11-22 15:07:39		Door		PIR			Kitchen
2012-11-22 15:07:46		2012-11-22 15:07:50		Door		PIR			Living
2012-11-22 15:26:02		2012-11-22 15:26:05		Door		PIR			Living
2012-11-22 15:26:17		2012-11-22 15:26:19		Door		PIR			Kitchen
2012-11-22 15:27:10		2012-11-22 15:27:15		Fridge		Magnetic	Kitchen
2012-11-22 15:27:24		2012-11-22 15:27:26		Door		PIR			Kitchen
2012-11-22 15:27:34		2012-11-22 15:27:38		Door		PIR			Living
2012-11-22 16:42:49		2012-11-22 16:42:52		Door		PIR			Living
