Start time          	End time            	Activity
2011-11-28 02:27:59	2011-11-28 10:18:11	Sleeping
2011-11-28 10:21:24	2011-11-28 10:23:36	Toileting
2011-11-28 10:25:44	2011-11-28 10:33:00	Showering
2011-11-28 10:34:23	2011-11-28 10:43:00	Breakfast
2011-11-28 10:49:48	2011-11-28 10:51:13	Grooming
2011-11-28 10:51:41	2011-11-28 13:05:07	Spare_Time/TV
2011-11-28 13:06:04	2011-11-28 13:06:31	Toileting
2011-11-28 13:09:31	2011-11-28 13:29:09	Leaving
2011-11-28 13:38:40	2011-11-28 14:21:40	Spare_Time/TV
2011-11-28 14:22:38	2011-11-28 14:27:07	Toileting
2011-11-28 14:27:11	2011-11-28 15:04:00	Lunch
2011-11-28 15:04:59	2011-11-28 15:06:29	Grooming
2011-11-28 15:07:01	2011-11-28 20:20:00	Spare_Time/TV
2011-11-28 20:20:55	2011-11-28 20:20:59	Snack
2011-11-28 20:21:15	2011-11-29 02:06:00	Spare_Time/TV
2011-11-29 02:16:00	2011-11-29 11:31:00	Sleeping
2011-11-29 11:31:55	2011-11-29 11:36:55	Toileting
2011-11-29 11:37:38	2011-11-29 11:48:54	Grooming
2011-11-29 11:49:57	2011-11-29 11:51:13	Showering
2011-11-29 12:08:28	2011-11-29 12:18:00	Breakfast
2011-11-29 12:19:01	2011-11-29 12:22:00	Grooming
2011-11-29 12:22:38	2011-11-29 12:24:59	Spare_Time/TV
2011-11-29 13:25:29	2011-11-29 13:25:32	Snack
2011-11-29 13:25:38	2011-11-29 15:12:26	Spare_Time/TV
2011-11-29 15:13:28	2011-11-29 15:13:57	Toileting
2011-11-29 15:14:33	2011-11-29 15:45:54	Lunch
2011-11-29 15:49:51	2011-11-29 15:50:54	Grooming
2011-11-29 15:52:04	2011-11-29 16:17:58	Spare_Time/TV
2011-11-29 16:18:00	2011-11-29 16:31:27	Toileting
2011-11-29 16:34:17	2011-11-29 17:08:07	Spare_Time/TV
2011-11-29 17:08:58	2011-11-29 17:09:29	Toileting
2011-11-29 17:43:00	2011-11-29 18:57:22	Spare_Time/TV
2011-11-29 19:02:15	2011-11-29 20:23:38	Leaving
2011-11-29 20:28:00	2011-11-30 01:19:47	Spare_Time/TV
2011-11-30 01:22:33	2011-11-30 10:07:31	Sleeping
2011-11-30 10:11:07	2011-11-30 10:13:59	Toileting
2011-11-30 10:14:45	2011-11-30 10:18:33	Showering
2011-11-30 10:22:59	2011-11-30 10:35:00	Breakfast
2011-11-30 10:39:30	2011-11-30 10:41:13	Grooming
2011-11-30 10:41:38	2011-11-30 13:04:59	Spare_Time/TV
2011-11-30 13:05:27	2011-11-30 13:05:31	Snack
2011-11-30 13:05:38	2011-11-30 14:09:34	Spare_Time/TV
2011-11-30 14:11:16	2011-11-30 14:11:48	Toileting
2011-11-30 14:13:45	2011-11-30 14:34:09	Spare_Time/TV
2011-11-30 14:39:42	2011-11-30 15:00:24	Lunch
2011-11-30 15:11:48	2011-11-30 16:39:11	Spare_Time/TV
2011-11-30 16:40:01	2011-11-30 16:40:24	Toileting
2011-11-30 16:41:05	2011-11-30 16:41:09	Snack
2011-11-30 16:41:15	2011-11-30 18:00:38	Spare_Time/TV
2011-11-30 18:01:44	2011-11-30 18:01:47	Toileting
2011-11-30 18:01:54	2011-11-30 18:43:20	Spare_Time/TV
2011-11-30 18:57:08	2011-11-30 18:57:34	Toileting
2011-11-30 18:57:39	2011-11-30 19:37:10	Spare_Time/TV
2011-11-30 19:37:36	2011-11-30 19:38:01	Toileting
2011-11-30 19:46:44	2011-11-30 20:05:12	Leaving
2011-11-30 20:13:39	2011-11-30 20:13:48	Grooming
2011-11-30 20:14:03	2011-12-01 01:34:27	Spare_Time/TV
2011-12-01 01:37:52	2011-12-01 10:50:45	Sleeping
2011-12-01 10:55:03	2011-12-01 10:55:32	Grooming
2011-12-01 10:58:37	2011-12-01 11:12:22	Showering
2011-12-01 11:17:05	2011-12-01 11:29:49	Breakfast
2011-12-01 11:30:06	2011-12-01 14:29:02	Spare_Time/TV
2011-12-01 14:29:37	2011-12-01 14:55:02	Lunch
2011-12-01 15:09:00	2011-12-01 16:26:17	Spare_Time/TV
2011-12-01 16:26:35	2011-12-01 16:27:04	Toileting
2011-12-01 16:27:03	2011-12-01 16:46:40	Spare_Time/TV
2011-12-01 17:17:23	2011-12-01 17:27:13	Grooming
2011-12-01 17:29:29	2011-12-01 18:49:51	Leaving
2011-12-01 18:55:03	2011-12-01 19:10:34	Spare_Time/TV
2011-12-01 19:28:51	2011-12-01 16:29:59	Toileting
2011-12-01 19:30:01	2011-12-01 23:52:52	Spare_Time/TV
2011-12-01 23:53:00	2011-12-01 23:53:28	Grooming
2011-12-01 23:54:32	2011-12-02 01:18:32	Spare_Time/TV
